geo,TIME_PERIOD,Network_length_KM,Consignment_full_train_load_THS_T,Consignment_full_wagon_load_THS_T,Consignment_total_THS_T,uncertainty_estimate_NL,uncertainty_estimate_FULL_TR,uncertainty_estimate_FULL_WG,uncertainty_estimate_TOTAL,population,uncertainty_estimate_POP,land_area_km2,km_per_million_people,km_per_1000_sqkm
CH,2008,5146.0,37705.0,25631.0,63336.0,,,,,7712249.736363637,28266.381550142945,41289.0,667.2501767851677,124.633679672552
CH,2009,5188.0,35765.0,20875.0,56640.0,,,,,7787544.363636364,25901.85760371407,41289.0,666.1920314990647,125.65089975538278
CH,2010,5124.0,39125.0,21293.0,60418.0,,,,,7862838.990909092,23558.913892921868,41289.0,651.6730160600133,124.10085010535494
CH,2011,5140.0,40349.0,20766.0,61114.0,,,,,7938133.618181819,21244.691464253872,41289.0,647.5073672515588,124.4883625178619
CH,2012,5147.0,34013.0,21593.0,55607.0,,,,,8013428.245454546,18969.7048504921,41289.0,642.2968849717386,124.6578991983337
CH,2013,5181.0,36401.0,23104.0,59505.0,,,,,8088722.872727273,16749.94877378534,41289.0,640.5213878038479,125.48136307491099
CH,2014,5187.0,38197.0,22149.0,60345.0,,,,,8139631.0,,41289.0,637.2524749586314,125.6266802296011
CH,2015,5205.0,39475.0,21357.0,60832.0,,,,,8237666.0,,41289.0,631.8537313845936,126.06263169367143
CH,2016,5249.0,40040.0,21108.0,61148.0,,,,,8327126.0,,41289.0,630.3495347614531,127.12829082806559
CH,2017,5251.0,44459.0,14638.0,59097.0,,,,,8419550.0,,41289.0,623.6675356758972,127.17672987962895
CH,2018,5248.0,40377.0,20404.0,60781.0,,,,,8484130.0,,41287.0,618.566665055816,127.11022840119166
CH,2019,5288.0,40423.0,19577.0,60000.0,,,,,8544527.0,,41287.0,618.8756849852542,128.0790563615666
CH,2020,5303.0,37688.0,18526.0,56214.0,,,,,8606033.0,,41287.0,616.1956385712209,128.4423668467072
CH,2021,5318.0,40139.0,18292.0,58431.0,,,,,8670300.0,,41287.0,613.3582459661143,128.8056773318478
CH,2022,5318.0,38424.0,18089.0,56513.0,,,,,8738791.0,,41287.0,608.55099978933,128.8056773318478
CH,2023,5318.0,37159.0,16131.0,53290.0,,,,,8815385.0,,41287.0,603.2634989850131,128.8056773318478
CH,2024,5343.550003744871,35838.0,15376.0,51215.0,11.975782958573934,,,,8962258.0,,41287.0,596.22809382913,129.4245162822407
DE,2008,37798.0,267134.0,104164.0,371298.0,,,,,80005444.57245983,465549.9494451102,357568.0,472.44284688358766,105.7085645247897
DE,2009,37934.0,265869.85020947,100361.31595838007,366231.0598255298,,7031.826425852236,4408.367552559633,5969.904182256463,80241373.6871983,426606.0192602007,357568.0,472.74863648118213,106.08891175944157
DE,2010,38750.0,262955.0,92984.0,355939.0,,,,,80477302.80193678,388017.5176226456,357568.0,481.50222051263177,108.37099516735279
DE,2011,38712.0,269220.0,105581.0,374801.0,,,,,80713231.91667525,349902.0582496773,357568.0,479.62396103732465,108.2647216753177
DE,2012,38648.0,270644.0,95560.0,366204.0,,,,,80949161.03141373,312432.8164981975,357568.0,477.43546081968617,108.08573474136388
DE,2013,38653.801,267938.0,105337.0,373274.0,,,,,81185090.1461522,275873.2269629428,357568.0,476.11945654570434,108.10195822892429
DE,2014,38658.765,257216.0,107810.0,365026.0,,,,,80767463.0,,357568.0,478.64280446694227,108.11584090298909
DE,2015,38630.502,261849.28744763264,106037.29621925284,367886.3599236227,,4350.974823551568,2727.697302688329,3693.906514110706,81197537.0,,357568.0,475.7595295039553,108.03679859495257
DE,2016,38696.542,243435.0,106359.0,349794.0,,,,,82175684.0,,357568.0,470.9001509497627,108.22149073742618
