STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_mode,Mode of transport,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,SK,Slovakia,2016,,3.7,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,SK,Slovakia,2017,,3.6,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,SK,Slovakia,2018,,3.0,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,SK,Slovakia,2019,,3.6,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,SK,Slovakia,2020,,3.4,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,SK,Slovakia,2021,,3.3,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,SK,Slovakia,2022,,2.6,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,SK,Slovakia,2023,,2.6,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,UK,United Kingdom,2008,,0.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,UK,United Kingdom,2009,,0.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,UK,United Kingdom,2010,,0.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,UK,United Kingdom,2011,,0.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,UK,United Kingdom,2012,,0.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,UK,United Kingdom,2013,,0.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,UK,United Kingdom,2014,,0.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,UK,United Kingdom,2015,,0.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,UK,United Kingdom,2016,,0.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,UK,United Kingdom,2017,,0.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,UK,United Kingdom,2018,,0.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,IWW,Inland waterways,UK,United Kingdom,2019,,0.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,AT,Austria,2008,,33.6,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,AT,Austria,2009,,32.0,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,AT,Austria,2010,,33.0,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,AT,Austria,2011,,33.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,AT,Austria,2012,,32.7,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,AT,Austria,2013,,32.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,AT,Austria,2014,,33.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,AT,Austria,2015,,32.5,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,AT,Austria,2016,,32.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,AT,Austria,2017,,31.9,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,AT,Austria,2018,,31.6,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,AT,Austria,2019,,31.0,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,AT,Austria,2020,,29.8,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,AT,Austria,2021,,30.0,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,AT,Austria,2022,,30.2,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,AT,Austria,2023,,29.3,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BE,Belgium,2008,,13.7,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BE,Belgium,2009,,11.0,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BE,Belgium,2010,,12.0,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BE,Belgium,2011,,12.2,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BE,Belgium,2012,,11.4,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BE,Belgium,2013,,11.0,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BE,Belgium,2014,,11.1,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BE,Belgium,2015,,11.2,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BE,Belgium,2016,,11.1,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BE,Belgium,2017,,11.1,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BE,Belgium,2018,,12.3,,be,"break in time series, estimated",,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BE,Belgium,2019,,12.1,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BE,Belgium,2020,,11.6,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BE,Belgium,2021,,11.8,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BE,Belgium,2022,,12.4,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BE,Belgium,2023,,11.7,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BG,Bulgaria,2008,,21.7,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BG,Bulgaria,2009,,18.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BG,Bulgaria,2010,,17.0,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BG,Bulgaria,2011,,19.0,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BG,Bulgaria,2012,,16.6,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BG,Bulgaria,2013,,16.6,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BG,Bulgaria,2014,,18.2,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BG,Bulgaria,2015,,17.9,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BG,Bulgaria,2016,,17.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BG,Bulgaria,2017,,18.6,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BG,Bulgaria,2018,,19.3,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BG,Bulgaria,2019,,21.2,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BG,Bulgaria,2020,,20.7,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BG,Bulgaria,2021,,19.6,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BG,Bulgaria,2022,,22.9,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,BG,Bulgaria,2023,,19.2,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CH,Switzerland,2008,,35.5,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CH,Switzerland,2009,,33.5,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CH,Switzerland,2010,,33.8,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CH,Switzerland,2011,,35.2,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CH,Switzerland,2012,,34.6,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CH,Switzerland,2013,,36.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CH,Switzerland,2014,,36.2,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CH,Switzerland,2015,,37.3,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CH,Switzerland,2016,,37.5,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CH,Switzerland,2017,,34.7,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CH,Switzerland,2018,,34.7,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CH,Switzerland,2019,,34.3,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CH,Switzerland,2020,,32.5,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CH,Switzerland,2021,,33.6,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CH,Switzerland,2022,,33.6,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CH,Switzerland,2023,,34.3,,e,estimated,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CY,Cyprus,2008,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CY,Cyprus,2009,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CY,Cyprus,2010,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CY,Cyprus,2011,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CY,Cyprus,2012,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CY,Cyprus,2013,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CY,Cyprus,2014,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CY,Cyprus,2015,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CY,Cyprus,2016,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CY,Cyprus,2017,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CY,Cyprus,2018,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CY,Cyprus,2019,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CY,Cyprus,2020,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CY,Cyprus,2021,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CY,Cyprus,2022,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CY,Cyprus,2023,,,,m,missing value; data cannot exist,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CZ,Czechia,2008,,32.2,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CZ,Czechia,2009,,30.5,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CZ,Czechia,2010,,30.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CZ,Czechia,2011,,30.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CZ,Czechia,2012,,30.5,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CZ,Czechia,2013,,28.3,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CZ,Czechia,2014,,28.2,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CZ,Czechia,2015,,26.3,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CZ,Czechia,2016,,26.5,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CZ,Czechia,2017,,26.9,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CZ,Czechia,2018,,27.6,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CZ,Czechia,2019,,26.2,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CZ,Czechia,2020,,22.8,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CZ,Czechia,2021,,22.8,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CZ,Czechia,2022,,22.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,CZ,Czechia,2023,,21.7,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DE,Germany,2008,,19.3,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DE,Germany,2009,,17.8,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DE,Germany,2010,,18.7,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DE,Germany,2011,,19.3,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DE,Germany,2012,,19.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DE,Germany,2013,,18.8,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DE,Germany,2014,,18.8,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DE,Germany,2015,,19.0,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DE,Germany,2016,,21.3,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DE,Germany,2017,,19.7,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DE,Germany,2018,,20.2,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DE,Germany,2019,,19.8,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DE,Germany,2020,,17.6,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DE,Germany,2021,,19.0,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DE,Germany,2022,,19.8,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DE,Germany,2023,,20.6,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DK,Denmark,2008,,9.0,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DK,Denmark,2009,,9.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DK,Denmark,2010,,11.5,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DK,Denmark,2011,,12.4,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DK,Denmark,2012,,10.9,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DK,Denmark,2013,,11.3,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DK,Denmark,2014,,11.2,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DK,Denmark,2015,,12.0,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DK,Denmark,2016,,11.3,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DK,Denmark,2017,,11.5,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DK,Denmark,2018,,11.8,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DK,Denmark,2019,,11.5,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DK,Denmark,2020,,10.8,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DK,Denmark,2021,,8.7,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DK,Denmark,2022,,9.6,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,DK,Denmark,2023,,8.2,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,EE,Estonia,2008,,68.2,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,EE,Estonia,2009,,74.1,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,EE,Estonia,2010,,75.4,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,EE,Estonia,2011,,71.6,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,EE,Estonia,2012,,66.9,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,EE,Estonia,2013,,64.0,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,EE,Estonia,2014,,55.2,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,EE,Estonia,2015,,52.4,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,EE,Estonia,2016,,42.9,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,EE,Estonia,2017,,44.4,,,,,
dataflow,ESTAT:TRAN_HV_FRMOD(1.0),Modal split of inland freight transport,A,Annual,PC,Percentage,RAIL,Railways,EE,Estonia,2018,,46.2,,,,,
