STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,consign,Type of consignment,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2017,,10319,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2018,,11030,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2019,,10088,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2020,,9914,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2021,,10275,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2022,,0,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2023,,7869,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),FI,Finland,2024,,8226,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),HR,Croatia,2011,,2438,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),HR,Croatia,2012,,2332,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),HR,Croatia,2013,,2086,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),HR,Croatia,2014,,2119,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),HR,Croatia,2015,,2184,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),HR,Croatia,2016,,1871,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),HR,Croatia,2017,,2509,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),HR,Croatia,2018,,2555,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),HR,Croatia,2019,,2911,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),HR,Croatia,2020,,3279,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),HR,Croatia,2021,,3172,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),HR,Croatia,2022,,3529,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),HR,Croatia,2023,,3145,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),HR,Croatia,2024,,3293,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),IE,Ireland,2009,,79,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),IE,Ireland,2010,,92,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),IE,Ireland,2011,,105,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),IE,Ireland,2012,,91,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),IE,Ireland,2013,,99,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),IE,Ireland,2014,,100,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),IE,Ireland,2015,,96,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),IE,Ireland,2016,,101,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),IE,Ireland,2017,,100,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),IE,Ireland,2018,,89,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),IE,Ireland,2019,,72,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),IE,Ireland,2020,,74,,,,,
dataflow,ESTAT:RAIL_GO_CONSGMT(1.0),Goods transported by type of consignment,A,Annual,TOTAL,Total,MIO_TKM,Million tonne-kilometre (TKM),IE,Ireland,2021,,70,,,,,
