STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2010,,7476,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2011,,7593,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2013,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2014,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2015,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2016,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2017,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2018,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2019,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2020,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2021,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2022,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2023,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BE,Belgium,2024,,,,,,C,confidential
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2008,,4693,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2009,,3145,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2010,,3064,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2011,,3291,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2012,,2907,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2013,,3246,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2014,,3439,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2015,,3650,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2016,,3434,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2017,,3931,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2018,,3824,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2019,,3902,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2020,,4503,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2021,,4657,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2022,,5239,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2023,,4555,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),BG,Bulgaria,2024,,4369,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2008,,12265,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2009,,10565,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2010,,11074,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2011,,11526,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2012,,11061,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2013,,11812,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2014,,12313,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2015,,12431,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2016,,12447,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2017,,11653,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2018,,11776,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2019,,11666,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2020,,11063,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2021,,12023,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2022,,12135,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2023,,11540,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CH,Switzerland,2024,,11280,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2008,,15437,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2009,,12791,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2010,,13770,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2011,,14316,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2012,,14267,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2013,,13965,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2014,,14575,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2015,,15261,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2016,,15619,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2017,,15843,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2018,,16564,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2019,,16180,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2020,,15251,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2021,,16326,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2022,,16368,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2023,,15038,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),CZ,Czechia,2024,,14853,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2008,,115969,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2009,,95652,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2010,,107317,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2011,,113160,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2012,,110065,,,,,
dataflow,ESTAT:RAIL_GO_TOTAL(1.0),Goods transported,A,Annual,MIO_TKM,Million tonne-kilometre (TKM),DE,Germany,2013,,110655,,,,,
